"# of Use","# จำนวนที่ใช้"
"Pending Reviews RSS","บทวิจารณ์ RSS กำลังรอการตรวจสอบ"
"Percentage","เปอร์เซ็นต์"
"Please add rows to option.","กรุณาเพิ่มแถวตัวเลือก."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won\'t be closed automatically","กรุณาคลิกปุ่มปิดหน้าต่าง ถ้ามันไม่ปิดโดยอัตโนมัติ"
"Please enter a new group name","กรุณาใส่ชื่อกลุ่มใหม่"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","กรุณาเลือกคุณลักษณะหนึ่งอย่างหรือมากกว่า."
"Please select product(s)","กรุณาเลือกสินค้า"
"Please select products for attributes update","กรุณาเลือกสินค้าที่จะอัพเดทคุณลักษณะ"
"Please select static block ...","กรุณาเลือก static block ..."
"Please set up merge date/time","กรุณาตั้งค่าผสานวันที่ / เวลา "
"Please set up merge date/time later then present date","กรุณาตั้งค่าผสานวันที่ / เวลา ภายหลังวันที่ปัจจุบัน"
"Please specify date required option(s)","โปรดระบุวัันที่ตัวเลือกที่ต้องการ"
"Please specify the product option(s)","กรุณากำหนดตัวเลือกสินค้า"
"Please specify the product required option(s)","กรุณากำหนดตัวเลือกสินค้าที่ต้องการ"
"Please specify the product(s) quantity","กรุณากำหนดจำนวนสินค้า"
"Please specify time required option(s)","กรุณาระบุเวลาที่เลือก"
"Please, use four-digit year format","กุรุณา, รูปแบบปีเป็นเลขสี่หลัก"
"Position","ตำแหน่ง"
"Position In Layered Navigation","ตำแหน่งในระดับ Navigation"
"Position of attribute in layered navigation block","ตำแหน่งของคุณลักษณะ layered navigation ถูกบล็อค"
"Prev","ก่อนหน้า"
"Previous","ก่อนหน้านี้"
"Price","ราคา"
"Price Type","ประเภทราคา"
"Price values for options should be specified in system base currency.","ค่าราคาสำหรับข้อกำหนดจะเจาะจงอยู่ในพื้นฐานระบบสกุลเงิน"
"Price:","ราคา:"
"Print This Page","พิมพ์หน้านี้"
"Problem saving the collection, aborting. Error: %s","พบปัญหาในการบันทึกข้อมูลกำลังยกเลิกการบันทึก ข้อผิดพลาด: %s"
"Product","สินค้า"
"Product %s successfully added to compare list","เพิ่มสินค้า %s ลงในรายการเปรียบเทียบแล้ว"
"Product %s successfully removed from compare list","ย้ายผลิตภัฑณ์จากรายการเปรียบเทียบสำเร็จ"
"Product API","สินค้า API"
"Product Alerts","แจ้งเตือนสินค้า"
"Product Attribute","คุณลักษณะสินค้า"
"Product Attributes","คุณลักษณะสินค้า"
"Product Categories","ประเภทสินค้า"
"Product Description","รายละเอียดสินค้า"
"Product Image Placeholders","รูปภาพสินค้า Placeholders"
"Product Image Watermarks","ภาพลายน้ำ้สินค้า"
"Product Images","รูปภาพสินค้า"
"Product Images API","รูปภาพสินค้า API"
"Product In Websites","สินค้าในเว็บไซต์"
"Product Info Column","คอลัมม์ข้อมูลสินค้า"
"Product Information","ข้อมูลสินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tags","Tags สินค้า"
"Product Tier Price API","ระดับราคาสินค้า API"
"Product Type","ประเภทสินค้า"
"Product URL Suffix","URL ต่อท้ายของสินค้า"
"Product attribute sets API","ชุดคุณลักษณะสินค้า API"
"Product attribute was successfully deleted","ลบคุณลักษณะสินค้าแล้ว"
"Product attribute was successfully saved","บันทึกคุณลักษณะสินค้าแล้ว"
"Product attributes API","คุณลักษณะสินค้า API"
"Product collection expected","ระบบต้องการข้อมูลคอลเลคชั่นสินค้า"
"Product deleted","ลบสินค้าแล้ว"
"Product duplicated","สินค้าซ้ำกัน"
"Product has required options","ต้องการตัวเลือกสินค้า"
"Product links API (related, cross sells, up sells)","ลิงค์สินค้า API (related, cross sells, up sells)"
"Product listing sort by","เรียงรายการผลิตภัณฑ์ตาม"
"Product saving error.","ข้อผิดพลาดในการบันทึกสินค้า."
"Product saving error. ","บันทึกสินค้าผิดพลาด. "
"Product types API","ประเภทสินค้า API"
"Product was successfully created.","สร้างสินค้าสำเร็จ"
"Product was successfully saved.","บันทึกสินค้าแล้ว"
"Product with this combination of attributes already associated to configurable.","ผลิตภัณฑ์รวมเข้าด้วยกันกับคุณลักษณะเรียบร้อยแล้วที่สัมพันธ์ถึงการแก้ไข"
"Products","สินค้า"
"Products Information","ข้อมูลสินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Products Sitemap","แผนผังสินค้า"
"Products only","เฉพาะสินค้า"
"Products per Page on Grid default value","สินค้าต่อหน้าบนค่าเริ่มต้นแบบ Grid "
"Products per Page on List allowed values","สินค้าต่อหน้าที่ยอมให้แสดงบนรายการแบบ list"
"Products per Page on List default value","สินค้าต่อหน้าบนค่าเริ่มต้นแบบ List "
"Products per page on Grid allowed values","สินค้าต่อหน้าที่ยอมให้แสดงบนรายการแบบ Grid "
"Properties","คุณสมบัติ"
"Qty","จำนวน"
"Qty Uses Decimals","จำนวนทศนิยมที่ใช้"
"Qty for Item\'s Status to become Out of Stock","จำนวนสำหรับสินค้าที่เปลี่ยนเป็นสถานะ หมดคลังสินค้า"
"Quick Create","สร้างแบบเร็ว"
"Quick Overview","รายละเอียด"
"Quick simple product creation","สร้างตัวอย่างสินค้าแบบเร็ว"
"Records for ""","บันทึกสำหรับ """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","ราคาปกติ:"
"Related Products","สินค้าที่เกี่ยวข้อง"
"Remove","ลบออก"
"Remove Product","ลบสินค้าออก"
"Remove Product From Websites","ลบสินค้าออกจากเว็บไซต์"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Remove product assignment","ลบสินค้าที่กำหนด"
"Remove product image","ลบรูปภาพสินค้า"
"Remove product link","ลบลิงค์สินค้า"
"Required","จำเป็น"
"Reset","รีเซ็ต"
"Results","ผลลัพธ์"
"Retrieve attribute data","เรียกข้อมูลคุณลักษณะ"
"Retrieve attribute list","รายการกู้คืนคุณลักษณะ"
"Retrieve attribute options","ตัวเลือกกู้คืนคุณลักษณะ"
"Retrieve categories tree","เรียกข้อมูล categories tree"
"Retrieve category attributes","กู้คืนคุณลักษณะประเภทสินค้า"
"Retrieve category data","กู้คืนข้อมูลประเภทสินค้า"
"Retrieve hierarchical tree","กู้คืนเกี่ยวกับแผนผังต้นไม้"
"Retrieve linked products","กู้คืนลิงค์สินค้า"
"Retrieve list of assigned products","รายการกู้คืนสินค้าที่กำหนด"
"Retrieve one level of categories by website/store view/parent category","กู้คืนประเภทสินค้าหนึ่งระดับโดยเป็นแบบ website/store view/parent category"
"Retrieve product","กู้คืนสินค้า"
"Retrieve product attribute sets","กู้คืนชุดคุณลักษณะสินค้า"
"Retrieve product image","กู้คืนรูปภาพสินค้า"
"Retrieve product image list","รายการกู้คืนรูปภาพสินค้า"
"Retrieve product image types","ประเภทการกู้คืนรูปภาพสินค้า"
"Retrieve product link type attributes","กู้คืนประเภทลิงค์คุณลักษณะสินค้า"
"Retrieve product link types","กู้คืนประเภทลิงค์สินค้า"
"Retrieve product tier prices","กู้คืนระดับราคาสินค้า"
"Retrieve product types","กู้คืนประเภทสินค้า"
"Retrieve products data","เรียกคืนข้อมูลสินค้า"
"Retrieve products list by filters","รายการกู้คืนสินค้าโดยการกรอง"
"Review successfully deleted","ลบบทวิจารณ์แล้ว"
"Review was saved successfully","บันทึกบทวิจารณ์แล้ว"
"Review was successfully saved","บันทึกบทวิจารณ์แล้ว"
"Reviews","บทวิจารณ์"
"Roll Over for preview","Roll Over สำหรับการแสดงตัวอย่าง"
"Root","Root"
"SKU","SKU"
"Save","บันทึก"
"Save And Continue Edit","บันทึกและแก้ไขต่อ"
"Save Attribute","บันทึกคุณลักษณะ"
"Save Attribute Set","บันทึกชุดคุณลักษณะ"
"Save Category","บันทึกประเภทสินค้า"
"Save Search","บันทึกการค้นหา"
"Saved ","บันทึกแล้ว"
"Scope","ขอบเขต"
"Search","ค้นหา"
"Search Engine Optimizations","การปรับแต่งเครื่องมือในการค้นหา"
"Search Information","ข้อมูลการค้นหา"
"Search Query","ค้นหา Query"
"Search Term was successfully saved","บันทึกคำค้นหาแล้ว"
"Search Term with such search query already exist.","มีคำค้นหาที่เกี่ยวกับคำคันหาเช่นนี้แล้ว"
"Search was successfully deleted","ลบการค้นหาแล้ว"
"Searchable","สามารถค้นหาได้"
"Select Configurable Attributes ","เลือกคุณลักษณะที่ปรับแต่งได้ "
"Select type of option","เลือกประเภทของตัวเลือก"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","เลือกประเภทสินค้า"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","นับการส่ง"
"Set Ascending Direction","ตั้งค่าเป็นเรียงจากน้อยไปมาก"
"Set Descending Direction","ตั้งค่าตามลำดับมากไปน้อย"
"Set Name","ชื่อชุดสินค้า"
"Set Root Category For Store","ตั้งค่า Root Category สำหรับร้านค้า"
"Set root category for this store in the <a href=""%s"">configuration</a>","ตั้งค้า root category สำหรับร้านค้านี้ใน<a href=""%s"">การตั้งค่า</a>"
"Set special price","Set special price"
"Set/Get current store view","ตั่งค่า/มุมองร้านค้าในปัจจุบัน"
"Settings","ตั้งค่า"
"Shop by","ซื้อโดย"
"Shopping Options","ตัวเลือกการซื้อ"
"Show","แสดง"
"Show Details","แสดงรายละเอียด"
"Show Tags","แสดง Tags"
"Simple Product","ตัวอย่างสินค้า"
"Site Map","แผนผังเว็บไซต์"
"Sitemap","แผนผังเว็บไซต์"
"Skip import row, is not valid value ""%s"" for field ""%s""","ข้ามการนำเข้าแถว,ค่าไม่ถูกต้อง""%s"" สำหรับฟิลด์""%s"""
"Skip import row, required field ""%s"" for new customer not defined","ข้ามการนำเข้าแถว, ต้องการฟิดล์""%s"" สำหรับลูกค้าใหม่ที่ไม่ได้กำหนด"
"Skip import row, required field ""%s"" for new products not defined","ข้ามการนำเข้าแถว, ต้องการฟิดล์ ""%s"" สำหรับสินค้าใหม่ที่ไม่ได้กำหนด"
"Skip import row, required field ""%s"" not defined","ข้ามการนำเข้าแถว, ต้องการฟิดล์ ""%s"" ไม่ได้กำหนด"
"Skip import row, store ""%s"" field not exists","ข้ามการนำเข้าแถว ""%s""ไม่มีฟิลด์อยู่"
"Sort Order","เรียงออเดอร์"
"Sort by","เรียงตาม"
"Source Model","แหล่งข้อมูลโมเดล"
"Special Price:","ราคาพิเศษ:"
"Starting at:","เริ่มต้นที่:"
"Static","สถิติ"
"Static block and products","Static block และสินค้า"
"Static block only","เฉพาะ Static block"
"Status","สถานะ"
"Stock Availability","มีสินค้าในคลังสินค้า"
"Store","ร้านค้า"
"Store View","มุมมองร้านค้า"
"Stretch","ยืดออก"
"Subscribe to Feed","สมัครสมาชิก Feed"
"Subscribe to RSS Feed","สมัครสมาชิก RSS Feed"
"Super product attributes configuration","การตั้งค่าคุณลักษณะสินค้าขั้นสูง"
"Synonym For","คำเหมือนของ"
"Synonym for","คำเหมือนของ"
"System","ระบบ"
"System Properties","คุณสมบัติระบบ"
"Tag Name","ชื่อ Tag"
"Tax","ภาษี"
"Text","ข้อความ"
"Text Area","พื้นที่ข้อความ"
"Text Field","ฟิลด์ข้อความ"
"There are no %s available.","ไม่มี %s ที่สามารถซื้อได้"
"There are no customers for this alert","ไม่มีลูกค้าสำหรับการแจ้งเตือนนี้"
"There are no products matching the selection.","ไม่พบสินค้าที่ตรงกับการเลือก"
"There was an error while adding products to websites","พบข้อผิดพลาดขณะเพิ่มสินค้าในเว็บไซต์"
"There was an error while cleared compare list","พบข้อผิดพลาดขณะเคลียร์รายการเปรียบเทียบ"
"There was an error while removing products from websites","พบข้อผิดพลาดขณะที่ลบสินค้าออกจากเว็บไซต์"
"There was an error while updating product(s) attributes","พบข้อผิดพลาดขณะกำลังอัพเกรดคุณลักษณะสินค้า"
"There was an error while updating product(s) status","พบข้อผิดพลาดขณะปรับปรุงสถานะสินค้า"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","คุณลักษณะนี้จะใช้ในผลิตภัณฑ์ที่กำหนด. คุณไม่สามารถลบออกจากคุณลักษณะที่กำหนด."
"This attribute no longer exists","ไม่มีคุณลักษณะนี้อยู่"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","กลุ่มนี้ประกอบด้วยคุณลักษณะของระบบ กรุณาย้ายคุณลักษณะของระบบออกไปยังกลุ่มอื่นแล้วลองใหม่อีกครั้ง."
"This is a required option","นี่คือตัวเลือกที่ต้องการ"
"This search no longer exists","ไม่มีการค้นหานี้"
"Tier Pricing","ระดับราคา"
"Tile","Tile"
"Time format","รูปแบบเวลา"
"Title","หัวข้อ"
"Top/Left","บน/ซ้าย"
"Top/Right","บน/ขวา"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","ลบรายการทั้งสิ้น%d รายการแล้ว"
"Total of %d record(s) were successfully updated","อัพเดทรายการทั้งสิ้น %dรายการแล้ว"
"Type","ประเภท"
"URL Rewrite Management","การจัดการ URL ที่เขียนใหม่"
"URL rewrite save problem.","URL ที่เขียนใหม่มีปัญหา่ในบันทึก"
"Unable to complete request. Please try again later.","ไม่สามารถดำเนินการตามคำขอให้เสร็จสมบูรณ์ได้กรุณาลองใหม่อีกครั้ง."
"Unable to find a search term to delete","ไม่พบคำค้นหาที่ต้องการลบ"
"Unable to find an attribute to delete","ไม่พบคุณลักษณะที่ต้องการลบ"
"Unable to get product id.","ไม่สามารถเรียกข้อมูล หัสสินค้าได้"
"Unassigned Attributes","คุณลักษณะที่ยังไม่ถูกจัดการ"
"Unique Value","ค่าที่เป็นค่าเฉพาะ"
"Unique Value (not shared with other products)","ค่าเฉพาะ (ไม่ใช้ร่วมกับสินค้าอื่น)"
"Unknown attribute: %s","คุณลักษณะที่ไม่รู้จัก: %s"
"Up-sells","Up-sells"
"Update","ปรับปรุง"
"Update Attributes","ปรับปรุงคุณลักษณะ"
"Update Tier Price","ปรับปรุงระดับราคา"
"Update assigned product","ปรับปรุงสินค้าที่กำหนด"
"Update attributes","อัพเดทคุณลักษณะ"
"Update category","ปรับปรุงประเภทสินค้า"
"Update product","ปรับปรุงสินค้า"
"Update product image","ปรับปรุงรูปภาพสินค้า"
"Update product link","ปรับปรุงลิงค์สินค้า"
"Update product tier prices","ปรับปรุงระดับราคาสินค้า"
"Upload new product image ","อัฟโหลดภาพสินค้าใหม่"
"Url","Url"
"Url Rewrite Management","การจัดการ URL ที่เขียนใหม่"
"Use Config Settings","ใช้การตั้งค่า Config"
"Use Default Value","ใช้ค่าเริ่มต้น"
"Use Flat Catalog Category","ใช้ประเภท Flat Catalog"
"Use Flat Catalog Product","ใช้สินค้า Flat Catalog"
"Use In Layered Navigation","ใช้ใน Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","ใช้ในLayered Navigation<br/>(สามารถใช้ใน catalogที่ใส่ข้อมูลประเภท'ดรอปดาวน์'เท่านั้น')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","ใช้ปฏิทิน JavaScript"
"Use To Create Configurable Product","ใช้ในการสร้างสินค้าที่ปรับแต่งได้"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","ใช้ Path ของ ประเภทสินค้า สำหรับ URL สินค้า"
"Use for Price Rule Conditions","ใช้สำหรับกฎเงื่อนไขราคา"
"Use in advanced search","ใช้ในการค้นหาขั้นสูง"
"Use in quick search","ใช้ในการค้นหาแบบเร่งด่วน"
"Used for sorting in product listing","ใช้เพื่อเรียงลำดับผลิตภัณฑ์ในรายการ"
"Used in product listing","ใช้ในรายการผลิตภัณฑ์"
"Values Required","จำเป็นต้องใส่ค่า"
"Varchar","Varchar"
"View as","ดูในมุมมอง"
"Virtual Product","สินค้าที่แท้จริง"
"Visibility","การมองเห็น"
"Visible","มองเห็นได้"
"Visible on Catalog Pages on Front-end","สามารถเห็นได้บนหน้ารายการสินค้าในส่วนหน้า"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","ลายน้ำ"
"Watermark Default Size","ขนาดค่าเริ่มต้นของลายน้ำ"
"Watermark Position","ตำแหน่งลายน้ำ"
"We Also Recommend","นอกจากนี้เรายังแนะนำ"
"Website","เว็บไซต์"
"Website Item Must be checked","รายการเว็บไซต์ต้องมีการตรวจสอบ"
"Website Store Must be checked","เว็บไซต์ร้านต้องมีการตรวจสอบ"
"Websites","เว็บไซต์"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong product type filter specified","ผลิตภัณฑ์ผิดประเภทตัวกรองที่ระบุ"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","ช่วงปี"
"Yes","ใช่"
"Yes/No","ใช่/ไม่ใช่"
"You cannot delete this attribute","คุณไม่สามารถลบคุณลักษณะนี้ได้"
"You cannot edit this attribute","คุณไม่สามารถแก้ไขคุณลักษณะนี้ได้"
"You cannot email this product to a friend","คุณไม่สามารถส่งอีเมลล์สินค้านี้ให้เพื่อน"
"You cannot remove system attribute from this set.","คุณไม่สามารถย้ายคุณลักษณะของระบบจากชุดนี้ได้."
"You cannot send more than %d emails at a time","คุณไม่สามารถส่งมากกว่า %d อีเมลล์ต่อครั้ง"
"You cannot update this attribute","คุณไม่สามารถอัพเดทคุณลักษณะนี้"
"You have exceeded limit of %d sends in an hour","คุณมีขีดจำกัดจาก %d การส่งในอีกหนึ่งชั่วโมง"
"You have no items to compare.","คุณไม่มีรายการสินค้าที่จะเปรียบเทียบ."
"You have to specify at least one recipient","คุณต้องระบุผู้รับอย่างน้อยหนึ่งราย"
"You may also be interested in the following product(s)","คุณอาจสนใจในผลิตภัณฑ์ต่อไปนี้ (รายการ)"
"Zoom In","ซูมเข้า"
"Zoom Out","ซูมออก"
"[GLOBAL]","[GLOBAL]"
"and","และ"
"and above","และสูงกว่า"
"cache refresh needed","ต้องการรีเฟรชแคช"
"categories","ประเภทสินค้า"
"comma separated","คั่นด้วยจุลภาค"
"each","แต่ละ"
"ex. http://domain.com","ตัวอย่าง. http://domain.com"
"leave blank if its not an image","เว้นว่างไว้ถ้ามันไม่รูปภาพ"
"must be in the allowed values list","must be in the allowed values list"
"per page","ต่อหน้า"
"products","สินค้า"
"px.","px."
"save","บันทึก"
"select all","เลือกทั้งหมด"
"unselect all","ไม่เลือกทั้งหมด"
"x","x"
